lobbyist_name,position
Benjamin R. Grove,Staff Asst. House Comm. on Homeland Security.
Tim Hutchinson,U.S. Senator (97-03); U.S. Congressman (93-97)
Oscar Ramirez,"Special Asst. to the Secretary, Dept. of Labor // Chief of Staff, Rep. Hilda Solis // Leg. Director/Deputy CoS, Rep. Al Green // Leg. Asst./Asst. LD/LD, Rep. Joe Baca"
Dana Thompson,"LD/Chf. Counsel, Rep. Maxine Waters // L. Cnsl/C. Cnsl/Dpty COS/COS, Rep. Sheila Jackson Lee"
Oscar Ramirez,"Special Asst. to the Secretary, Dept. of Labor // Chief of Staff, Rep. Hilda
Solis // Leg. Director/Deputy CoS, Rep. Al Green // Leg. Asst./Asst.
LD/LD, Rep. Joe Baca"
Dana Thompson,"LD/Chf. Counsel, Rep. Maxine Waters // L. Cnsl/C. Cnsl/Dpty COS/COS,
Rep. Sheila Jackson Lee"
Emilia DiSanto,Deputy Inspector General - US Department of State; Chief of Staff - Federal Housing Finance Agency; Chief Investigative Counsel and Special Counsel - U.S. Senate Committee on Finance
Katherine Raab,"House Cmte on Energy and Commerce, Prof. Staff; Congressman Mary Bono, Leg. Asst.; Congressman Elton Gallegly, Leg. Asst.; Congressman Michael Bilirakis, Leg. Asst.; Congressman Michael Bilirakis, Leg. Corr.; Congressman Michael Bilirakis, Staff Asst"
Roger Blissett,n/a
Julie Eddy Rokala,Chief of Staff- Congresswoman Doris Matsui; Special Assistant to the President; The White House
Theodore Painter,Legislative Director
Elizabeth Powell,Legislative Director for Rep. Jim Langevin 2001-2002 and Legislative Director/Legislative Assistant for Rep. Juanita Millender-McDonald 1997-2001
John Richter,"Legislative Assistant for Rep. Michelle Lujan Grisham (2014-2017) and Legislative Aide/Legislative Correspondent for Sen. Robert P. Casey, Jr. (2010-2014)"
Mary Landrieu,​U.S. Senator (1997-2015)
Mark Schauer,"Member of Congress, 2009-2011"
Michael Regan,"Senior Counsel, House Energy & Commerce Committee; 
Counsel, Senate Judiciary Committee"
Paul Brathwaite,"Executive Director, Congressional Black Caucus; Deputy Assistant Secretary, ESA, U.S. Department of Labor; Special Assistant to the Secretary, U.S Department of Labor"
Paul Brathwaite,"Executive Director, Congressional Black Caucus; Deputy Assistant Secretary, ESA, U.S. Department of Labor; Special Assistant to the Secretary, U.S. Department of Labor."
Alejandra Reyes,Vice President
Taunja Berquam,"House Approps. Committee, Energy & Water Submte: Minority and Majority Clerk, 2008-9/2017, Majority Staff, 2006-7,& US Army Corps of Engineers Detailee, 2005; Army Corps: MilCon Program Manager 2004, and Program Mgr.1998-2001,2003-4"
Paul Bock,"Counsel, Senate Judiciary Committee; Chief of Staff, Sen. Herb Kohl"
Meg Gilley,"2005-July 2010: LA and Senior PA, Cong. Jack Kingston"
John Kingston,"1993-2015, Congressman-U.S. House of Representatives"
David LesStrang (no contact with Approps Comm.),"1996 -2001: Dep. COS and LD, Rep. Jerry Lewis; Jan. 2005- Jan. 2007:  Dep. Staff Dir., Com. on Approps; Jan. 2007-Jan. 2011: Professional Staff, House Com.on Approps; Jan. 2011-Aug. 2018:  Clerk, Sub. on Interior, Environ. and Related Agencies."
David Schnittger,"Dep. Chief of Staff, Speaker Boehner, 2006-2015; Press Secr.,  Rep. John Boehner 1994-2001; Communications Director, House Committee on Education and the Workforce 2001-2005"
Sarah Vilms,"Dec. 1990- Jan. 1991, Intern, Cong. Barbara Kennelly; Aug. 1992, Intern, Sen. Joseph Lieberman"
Greg Means,"Chief of Staff, Representative Dennis Eckart"
Jason Schendle,"Legislative Counsel, Sen. Mary Landrieu"
Courtney Johnson,"Research Assistant, House Energy & Commerce Committee"
Michael Haywood,"LA, Senator Jim Bunning; LA, Rep. Dave Camp"
Greg Means,"Chief of Staff, Rep. Dennis Eckart"
Lauren Bazel,"Senior Tax Policy Adviser, Sen. Maria Cantwell; Tax Policy Adviser, Sen. John Kerry; Senior Policy Adviser, Sen. William Cowen"
J. Michael Hogan,"Deputy Chief of Staff, Sen. Ben Nelson"
Jason S. McKitrick,"Analyst, House Budget; LA Rep. John Kasich"
Sheila Murphy,Sen. Dashcle (1996-2000) Sr. Policy Adv; Sen. Ben Nelson (2001) LD; Sen. Tom Carper (2001-2006) LD; Sen. Klobuchar (2007) LD
James Walsh,U.S. Congressman
Barton Gordon,U.S. Congressman
Sean McGlynn,"Staff Asst/Asst to Chief of Staff, Senator Mikulski"
Andrew Rosenberg,"Leg Asst, Kennedy; Leg Aide, Senate HELP Comm"
Jessie Brairton,"Sr LA/LA: Cong. L.Smith; LC,Asst: Senate Aging Comm"
Chris McCannell,"Press Secretary, Rep. Paul Kanjorski; Press Secretary, Rep. Steny Hoyer; Chief of Staff, Rep. Michael McMahon; Chief of Staff, Rep. Joseph Crowley."
Travis Johnson,"Deputy Chief of Staff, Senator David Vitter; Staff Director, Senate Banking Subcommittee on Economic Policy; Legislative Director, Rep John Shadegg; Sr. Legislative Assistant, Rep Tom Price; Staff Assistant, House Committee on Transportation."
Jason S McKitrick,"Analyst, House Budget; LA Rep. John Kasich"
Greg Mesack,"Staff Asst., Rep. Wally Herger and LD, Rep. Bob Ney."
Travis Johnson,"Deputy Chief of Staff, Senator David Vitter; Staff Director, Senate Banking Subcommittee on Economic Policy; Legislative Director, Rep John Shadegg; Sr. Legislative Assistant, Rep Tom Price; Staff Assistant, House Committee on Transportation"
Greg McCannell,"Staff Assistant, Rep. Wally Herger; Legislative Director, Rep. Bob Ney."
Danielle Cutrona,"Senior Counselor to Attorney General, Dept. of Justice / Chief Counsel, Senate Judiciary Committee / Senior Counsel, Senate Judiciary Committee / Chief Counsel for Nominations, Senate Judiciary Committee / Counsel, Senate Judiciary Committee"
Doyle Bartlett,"Chief of staff, Rep. Bill McCollum."
Christina Hamilton,"​​Staff, House Appropriations Committee; Chief of Staff, Approps Coord, and Admin Asst, Rep. Obey"
Janice O'Connell,"Staff, Senate Foreign Relations Committee, Senate Banking Committee"
Thomas O'Donnell,"​Chief of Staff, House Majority Leader Dick Gephardt"
Richard Gephardt,Member of Congress
Chris McCannell,"Press Secretary, Rep. Paul Kanjorski; Press Secretary, Rep. Steny Hoyer; Chief of Staff, Rep. Michael McMahon; Chief of Staff, Rep. Joseph Crowley"
Daniel Gans,"Intern, Rep. McMillan; COS, Rep Riley; LD, Rep Martini; Sr LA, Rep. Franks."
Bryan Cunningham,"LC Sen. Gregg; Intern, Sen. Bennett; Policy Advsr & LA, Sen Ensign; LA Rep LoBiondo."
Jon Gans,"Dpty CoS & Policy Dir-Sen.Kyl/GOP Whip Ofc; Policy Cnsl-Sen Kyl/GOP Whip Ofc; Dpty Assoc Dir (Senate), OMB, Leg. Aff; Policy Cnsl/Analyst-Sen Kyl/Sen Rep Plcy Cmte; Leg.Cnsl, Rep Frelinghuysen; Law Clerk-DoT Amtrak Reform Cnsl; Intern-Rep Hefley."
Bradford Cheney,"Chief of Staff, Rep. Brad Sherman; Assistant to the Chief of Staff, Sen. Hillary Clinton."
Bobby Cornett,"Deputy Chief of Staff, Congressman Trent Franks"
John Ariale,Chief of Staff Congressman McCollum and Congressman Crenshaw
Russell Orban,"General Counsel, House Committee on Small Business, Staff Director/Counsel. House Small Bus. Procurement Subcommittee"
Jason Larrabee,"​U.S. Department of the Interior, Principal Deputy Assistant Secretary for Fish and Wildlife and Parks, 2017-2018; Office of U.S. Congressman Jeff Denham, Chief of Staff, 2011 - 2017; Office of U.S. Congressman John Doolittle, Legis. Dir., 2003-2006"
Marc Lampkin,"Policy Dir Senate Republican Conf Sectys office, General Counsel House Republican Conference, Staff/Counsel House Education and Labor Comm"
Milan Dalal,"Staff Dir., Senate Banking Subcom on Securities, Insurance, and Investments; Staff Dir., Senate Banking Subcom on National Security, International Trade, and Finance; Senior Economic Advisor, Sen. Mark Warner; Legislative Dir, Rep. Gregory Meeks"
Micah Johnson,"Communications Director, Senator Bob Corker & Senate Committee on Foreign Relations; Press Secretary/ Deputy Press Secretary/ Press Assistant/ Constituent Services Representative, Senator Bob Corker"
Jim Davis,"Member, U.S. Congress"
Ron Klien,"Member, U.S. Congress"
Jared R Wessel,"Associate General Counsel, Office of the U.S. Trade Representative"
David Adams,"Asst Secy for Legislative Affairs, Dept. of State // Dpty. Asst Secy for House Affairs, Dept. of State // SD, H. For. Aff. Cmte./Sub. on M. East & S. Asia // Prof. Staff, H. Foreign Affairs Cmte."
Randall Gerard,"Staff Asst, Sen. Comm., Science & Trans. Cmte."
David Adams,"Asst Secy for Legislative Affairs, Dept. of State // Dpty. Asst Secy for
House Affairs, Dept. of State // SD, H. For. Aff. Cmte./Sub. on M. East &
S. Asia // Prof. Staff, H. Foreign Affairs Cmte."
Andrew Kauders,"Sr. Adv'r/Exec. Dir., House Democratic Caucus // Sr. Adv'r/Comm. Dir.,
Rep. Robert Menendez // Spksperson/Asst. to D. Sec'y, Dept. of
Agriculture // Dpty. Comm. Dir., WH Climate Chg Task Force // Special
Assistant, Environ. Protection Agency"
Sue Myrick,former member US House of Representatives
Jason Larrabee,"U.S. Department of the Interior, Principal Deputy Assistant Secretary for Fish and Wildlife and Parks, 2017-2018; Office of U.S. Congressman Jeff Denham, Chief of Staff, 2011 - 2017; Office of U.S. Congressman John Doolittle, Legis. Dir., 2003-200"
Christine Pollack,"Legislative Director, Rep. E. Clay Shaw, Jr.; Health Insurance Specialist, CMS/HHS; Legislative Assistant, Rep. Jim Nussle"
Lisa Moore,"Senate Majority Leader Reid - General Counsel
Senate Environment and Public Works Committee - Counsel
Senator Boxer - Legislative Assistant"
Menda Fife,Professional Staff Member - Senate Appropriations Committee; Legislative Assistant - Senators Edward Kennedy and Dianne Feinstein and Cong. Corrine Brown; and Legislative Correspondent/Mailroom Supervisor - Senator Tom Harkin
Matt McGinley,"Chief of Staff, Rep. Tom Price; Chief of Staff, Republican Policy Committee; DCOS & LD, Rep. Brian Kerns"
Leonard Collins,"General Counsel, U.S. Senator Marco Rubio (2011-2013)"
Heide Bajnrauh,"Sen McCain LSA, 96-97"
Jeff McMillen,"Staff dir, H Ways & Means Subcomm on Sel Rev Measures, Mar 01-Mar
04; staff, H Ways & Means Subcom on Oversight, Jun 98-Mar 01"
Zach Rudisill,"Sen Portman, Jun 14-May 18, Tax Counsel; Rep. Dave Reichert, Jul 12-
Jun 14,Legslat Directr/Tax Counsl; House Ways Means Comm, Dec 10-
Jul 12; Rep. Dave Camp, Legislative Assist; House Ways and Means
Comm.Aug. 10-Nov. 10,Rep Dave Camp, Intern"
Brian Pomper,"Ch Intl Trade Cnsl, Intl Trade Cnsl, Senate Fin"
Josh Teitelbaum,"Deputy Assistant Secretary of Commerce, 2014-2016; Staff Director, US
Senate HELP Subcommittee on Children and Families, 2013-2014;
Legislative Assistant, Senator Kay Hagan, 2011-2013; Legislative
Counsel, Congressman Steve Israel, 2009-2011"
Susan Lent,"Cnsl to Surface Trnsp Subcomm, H Comm on Trnsp & Infrastruc, 1995-
Aug 98"
Geoff Verhoff,"Press aide, ofc of Sen Roth, Nov 00-Jan 01; press aide, S Fin Comm, Aug
99-Nov 00"
Jamie Tucker,"Leg cnsl to Rep Northup, 1999; leg cnsl to Rep Inglis, 1997-99"
Todd Tuten,"Rep Michael Bilirakis; 91-92, 93-95, 98-01"
Julie Nolan,"Deputy CoS and LD, Nov.17-Nov. 18; LD, Nov.16-17; LA Oct. 15-16 to
Rep. Patrick Meehan; Staff Asst, Sen. Richard Lugar Jan. 06-Jan. 07."
Allison Binney,"Gen cnsl, Sen Comm on Indian Affairs, Jul 05-Dec 07; staff dir and chf
cnsl, Sen Comm on Indian Affairs, Dec 07-Mar 11."
Denise Desidario,"Dep Staff Dir, S Comm on Ind Affairs, Feb 13-Jan 14; Snr Cnsl, S Comm
on Ind Affairs, Jan 09-Feb 13; Cnslr, Office of Gen Cnsl the Nat Indian
Gaming Commission, Sep 05-Dec 09; Special Assist to the Assist
Secretary for Ind Affairs, Jan 03-Sep 05"
Geoff Verhoff,"Press aide, ofc of Sen Roth, Nov 00-Jan 01; press aide, S Fin Comm, Aug
99-Nov 00."
Arshi Siddiqui,"Sr pol adv & cnsl for Spkr Pelosi, Oct 03-May 09; Ways & Means cnsl,
Rep Becerra, 1998-May 00; pol aide, Rep Clayton, Oct 97-Jan 98."
Ed Pagano,"Advsr, Sen Harkin, 2014; Dep Asst to the President for Leg Affairs and
Sen Liaison, Exec Ofc of the President, 2012-14; CoS, Sen Leahy, 2005-
11; Sr Cnsl, Sen Judiciary Comm, 1997-04"
Mark Aitken,"LD, Rep LoBiondo, Mar14-Nov14; Snr Pol Advsr, Rep LoBiondo,
Dec12-Mar14; Miltry LA, Rep LoBiondo, Jan11-Dec12; Snr LA, Rep Bartlett, Feb06-Oct06; Jnr LA, Rep. Bartlett, Jan05-Jan06; Intrn, Rep
Bartlett, Jun04-Dec04; Intrn, Rep Ehrlich, Jan00-Jun00"
Louis Agnello,"Snr Cnsl, Joint Econ Committee, Mar 17-Nov 17; Leg cnsl, Sen Heinrich,
Apr 14-Mar 17; Leg Asst, Rep Doris Matsui, Dec 11-Apr 14; Leg Asst,
Senate Judiciary Committee, May 09-Aug 09; Research Analyst, Senate
Small Business Committee, Jun 07-Aug 08"
Shane Doucet,Legislative Assistant for Rep. Chris John
Mariah Sixkiller,"Senior Policy Advisor, Dem Whip/ Leader Hoyer; Legislative Asst, Sen. Sarbanes; Director of Research/ LC, Sen.Cantwell; Special Assistant, OMB"
Christian Morgan,Chief of Staff Ann Wagner
Joel Roberson,"Committee Liaison, House Republican Conference; Floor Debate Coordinator, House Republican Conference; Law Clerk, House Judiciary Committee"
Leslie Pollner,"Chief of Staff, Rep. Susan Kosmas; Chief of Staff, Rep. Tim Mahoney"
Michael Friedberg,"Staff Director, Rail Subcommittee, House Transportation & Infrastructure Committee; Professional Staff, House Appropriations Committee"
Lindsey Tonsager,"Congressional intern, Senator Tom Daschle, June-August 2002"
Les Spivey,"Professional Staff, Senate Appropriations Committee"
Cornell Teague,"Professional Staff, House Appropriations Cmte-Defense; Professional Staff, House Appropriations Cmte- Homeland"
Ashley Davis,"Special Assistant to the Homeland Security Director, Executive Office of the President; Deputy Director of Management and Administration, Executive Office of the President"
Craig Kalkut,"Staff Director/Chief Counsel, Senate Judiciary Committee; Analyst, Senate Budget Committee; Counsel, Legislative Assistant, Special Assistant to Chief Staff, Senator Kent Conrad"
Malloy McDaniel,"Policy Advisor, Senate Minority Leader Mitch McConnell; Whip Liaison, Senate Majority Whip Mitch McConnell; Floor Assistant, Senate Majority Leader Trent Lott; Cloakroom Assistant, Office of the Republican Secretary"
Kristi Remington,"Deputy Assistant Attorney General, US Department of Justice; Senior Counsel, House Government Reform Committee"
Shimon Stein,"Senior Policy Advisor, House Majority Leader Eric Cantor; Program Manager, US Department of Justice; Legislative Correspondent, Senator John Ashcroft; Paid Intern, Represenative Robert Aderholt"
Martin Delgado,"Staff Director, House Ag Approps; Professional Staff, MilCon/VA Approps, Budget Analyst APHIS"
John Scofield,"Dep Press Sec, US Sen Mark Hatfield; Press Sec, Rep. Frank LoBiondo; Comms Dir, House Approps"
Michaeleen Earle Crowell,"Leg Director, Rep. Denise Majette; Leg Director, Rep. John Lewis; Chief of Staff, US Sen. Bernie Sanders"
Kate Dickens,"Chief of Staff, US Sen Mark Kirk; Leg Director, Rep. Mike Castle; Foreign Policy Adv, Rep. Connie Morella"
Andrew Kent,"Chief of Staff, Rep. Charles W. Dent; Deputy Chief of Staff, Rep. Tom Marino; Senior Legislative Assistant, Rep. Louie Gohmert"
Emily Porter,"Ofce of Spkr(Rep.Boehner),Asst to Spkr,Policy;Ofce of Min. Ldr(Rep.Boehner),Plcy Adv;Ofce of the Maj. Ldr(Rep. Boehner),Plcy Adv;Cmte Ed & the Wrkfrc(Rep.Boehner),Coalitions Dir. for Educ Plcy; Rep.Trent Franks,Sr.Leg.Asst; Rep.Tom Tancredo,Leg.Asst"
Tod Preston,"Congressional Affairs Specialist/Speechwriter, U.S Patent and Trademark Office; Legislative Director/ Speechwriter, Rep. Rod Blagojevich; Sr. Legislative Assistant, Rep. Nita Lowey; Legislative Assistant, Rep. Nita Lowey"
Tod Preston,"Professional Staff, House Subcommittee on Environment & Natural Resources"
Andrew King,"Legislative Assistant, Rep. Lindsey Graham; Projects & Appropriations Director, Sen. Lindsey Graham; Deputy Chief of Staff, Sen. Lindsey Graham"
Kerry O'Brien,"Legislative Director, Rep. Bill Keating; Senior Legislative Assistant, Rep. Bill Keating; Legislative Assistant, Rep. Bill Keating; Legislative Assistant/Legislative Correspondent, Rep. Bill Delahunt."
Alissa Wilcox Clees,"Scheduler, Senator Ben Nelson"
Tony Bullock,"Chief of Staff, Senator Daniel Moynihan"
william hanka,"1997-98:Counsel, House Govt Reform Cmte; 1995-97:Leg Director, Rep. Nethercutt; 1989-93: Dep Director Leg Affairs, Vice President Quayle; 1987-88: Staff Asst, Senate Labor Subcmte"
william hanka,"1997-98: Inv Counsel, House Govt Reform Cmte; 1995-97: Leg Dir, Rep. Nethercutt; 1989-93: Dep Dir Leg Affairs, Vice President Quayle; 1987-89: Staff Asst, Senate Labor Subcmt"
Brendan Dunn,"Staff Mbr and Leg Asst to Sen Hatch Judiciary Comm and Sub-Comm,
Apr04-May07, Aug07-May08; Special Counsel to Sen Hatch Fin Comm,Jan 11-Dec 12; Policy Adv and Counsel to Sen McConnell Majority
Leader staff, Dec 12-May18."
Arshi Siddiqui,"Sr pol adv & cnsl for Spkr Pelosi, Oct 03-May 09; Ways & Means cnsl,
Rep Becerra, 1998-May 00; pol aide, Rep Clayton, Oct 97-Jan 98"
Ryan Thompson,"CoS, Press Secy, Dep Press Secy to Sen Inhofe"
Matthew Hoffmann,St. Asst. Rep. Vitter; LC Rep. Vitter; Sen. LC .Rep. Vitter; LA Rep. Paul Ryan; Sen. LA Rep. Paul Ryan; LD Rep. Paul Ryan; Budget Analyst Rep. Paul Ryan; St. Dir. Health Subcmte House W&M Cmte; Policy Analyst Off. Speaker; Policy Dir. Sen. Fin Cmte.
Dan Murphy,CoS for HUD Sec
George Caram,"Staff Officer, Special Assistant, National Security Council; Sr. LA, LA, LC, Sr. Staff Asst, Rep. Kevin McCarthy; Special Asst, Rep. C.W. Bill Young"
Bret Boyles,"Staff Assistant, Deputy Chief of Staff, Chief of Staff, Sen.Lott, 1996-97, 2005-07"
Natasha Hammond,"Oct. 2015-Nov 2015: Assist. for Policy to the Speaker Rep. Paul Ryan; Sep. 2006-Oct. 2015: Asst. for Policy, Speaker John Boehner; Legis. Dir., Legis. Asst, Legis. Correspondent; SA, Intern, Rep. John Boehner."
Austin Harrison,"March 2009: Intern for Cong. Gregg Harper;
May-Aug. 2013: Intern for Sen. Thad Cochran; January-May 2015: June-August 2015: U.S.  Department of State, intern, U.S. Embassy, Zagreb, Croatia."
Lem Smith,"2001-2004, Legislative Director, Rep Charlie Norwood; 1999-2001, Legislative Assistant, Rep. Roger Wicker; 1998-1999, Staff Assistant, Senate Majority Leader Trent Lott"
Adrienne Schweer,"Chief of Protocol, Office of the Secretary of Defense,Senior Aide and
Director of Scheduling, Senator Chuck Hagel, Staff Assistant, Senator
Chuck Hagel"
Gregory D. Burns,"Legislative Assistant, Congresswoman Darlene Hooley"
Phillip Bond,Chief of Staff to Commerce Secretary Don Evans; under Secretary of Commerce Department for Technology.
David Haines,"Staff Assistant, Congressman Kenny Marchant; Legislative Correspondent, Congressman Kenny Marchant; Legislative Aide, Senator Kay Bailey Hutchison; and Legislative Assistant, Senator Kay Bailey Hutchison"
Channon Hanna,"Legislative Assistant, Senate Committee on Commerce, Science and Transportation"
Christopher Carney,Member of Congress
Michael Stroud,Deputy Chief Counsel on the U.S. House of Representatives Committee on Homeland Security; Congressional Relations Officer for the U.S. International Trade Commission
Kevin Talley,"Chief of Staff, Congressman Gaetz"
Jennifer Arangio,"Senior Director for International Organizations and Alliances, National Security Council; Senior Counsel, Committee on Homeland Security, U.S. House of Representatives"
Omar Franco,Rep. Mario Diaz-Balart
Clarence Williams,Rep. Kendrick B. Meek
Sean Richardson,"Chief of Staff, Senator Amy Klobuchar; Chief of Staff, Rep. Patrick Kennedy; Dpty Staff Dir., Dem. Tech. and Comm. Committee;  Policy Advisor, Rep. Dick Gephardt; Staff Assistant, Rep. Dick Gephardt;"
William Liles,"Senior Counsel, U.S. House Committee on Financial Services"
Scott Weaver,"Policy Adviser, Rep. Sullivan (2003-2005); Chief of Staff, Rep. Harris (2005-2007)"
Hap Rigby,"Professional Staff Member, U.S. Senate Committee on Commerce, Science, and Transportation (2011-2017); Legislative Assistant, Senator Jim DeMint (2005-2010)"
Jamie Gillespie,"Staff, Committee on Commerce, Science and Transportation"
Jason Everett,"House Judiciary Cmte., Democratic Dep. Chief Counsel/Counsel; Subcmte on Courts, Intellectual Property, and the Internet, Chief Democratic Counsel/Counsel; Rep. Mel Watt, Leg. Asst.; Sen. Boxer, Leg. Aide; Minority Bus. Dev. Agency, Asst. to the Dir."
Gabriel Neville,"Representative Joe Pitts, Chief of Staff, Communications Director, and Special Assistant"
Robert Harris,"Staff Assistant, Rep. Frank Balance; Special Assistant, Rep. Frank Balance; Legislative Assistant, Rep. G.K. Butterfield; Sr. Legislative Assistant, Rep. G.K. Butterfield; Legislative Director, Rep. G.K. Butterfield; House Floor Assistant, Rep. G.K."
Carlos Iturregui,Senior Vice President
John Cahill,Vice Chairman
Jennifer Krowchun,Senior Director
Jason Tai,"Chief of Staff, Office of Rep. William Lipinski"
Jason Tai,"Chief of Staff, Office of Rep. Dan Lipinski"
Jason Tai,"Associate Professional Staff Member, House T&I Committee"
Madeleine Pike,"Senior Legislative Assistant, Office of Rep. Albio Sires"
Tom Ingram,"CoS, Sen. Lamar Alexander; Staff Director, Senate Republican Conference"
Brandi Lowell,"CoS, LD, Rep. Heath Shuler; Dep CoS, LD, Senior LA, LA, Rep. Lincoln Davis; LC, Staff Asst, Rep. Bob Clement"
Amanda Bunning Kelsey,"Senator Mitch McConnell, Republican Leader Office, Staff Asst"
William McGrath,"Staff Dir., House Oversight and Gov Reform Subcomm on Interior, Energy and Environment"
Alfred Mottur,"Sr Communications Counsel Senate Commerce Comm; Communications Counsel Senate Commerce Comm; Law Clerk Federal District Court Bangor, ME; Communications Counsel-Sen. Commerce Com; Law Clerk-Federal District Court-Bangor, ME"
Anne Urban,"Legislative Director, Tax Adviser, Sen. Bob Kerry"
Sandra Swirski,Tax Counsel to Sen. Al Simpson
Michael McHugh,"Legislative Assistant, Sen. Gordon Smith"
Sara Barba,Intern for Rep. Mike Coffman
Andrew Lewin,"​Legislative Assistant/Director, Rep. Dennis Moore / Legislative Assistant/Director, Rep. Max Sandlin"
Pete Landrum,​Senior Defense Policy Advisor Sen. Sessions
Shane Skelton,"Legislative Counsel, Rep. Bob Latta
Counsel & Policy Advisor, House Committee on the Budget"
Estuardo Rodriguez,"Attorney, HUD"
Lester Munson,Staff Dir. SFRC; COS Sen. Kirk; Asst. Cong. Kirk; Sen. Policy Adv. Sen. Spec. Cmte. Aging; Dep. Asst. Admin. USAID; Comms Dir SFRC; Comms Dir. and Professional Staff HFAC
Remy Brim,"​Senior FDA Policy Advisor to the Senate HELP Committee Ranking Member, Sen. Patty Murray; Senior Health Policy Advisor Sen. Elizabeth Warren"
Dave Boyer,"​Sp Ast Pres LA, Ast Com Leg, FDA; Sp Ast Sec HHS, Con Asst; Off of WH Liaison DoD; Con Asst, Off of Sec Lab"
Robb Walton,​Senior Health Policy Advisor and Counsel Sen Cassidy; Advisor Rep. Cassidy; Healthcare Aide Sen. Enzi
Brent Del Monte,​​Leg. Dir. Rep. Bliley; Sen. Counsel House Energy & Commerce Committee
John Stone,"​Counsel, House E&C Cmte, Oversight Subcommittee; Senior Counsel,House E&C Ctme Health Subcommittee"
James Mendenhall,"General Counsel, Office of the USTR"
John Martin,"Vice President, Government Affairs"
Art Estopinan,Former Chief of Staff for Congresswoman Ileana Ros-Lehtinen
Joshua Kardon,"Chief of Staff, Senator Ron Wyden; Legislative Director/Press Secretary, Senator Ron Wyden; and Staff Director, House Government Affairs Committee."
Ethan Pittleman,"Legislative Aide, Rep. Kurt Schrader."
Margaret Cekuta,"Associate Chief of Staff, Council of Economic Advisers (White House); Director for Eurasia, Russia, and Germany (USTR)."
Connie Mack,U.S. Representative (2005-2013)
James Ryan,"LaFollette Law Fellow, S. Jud Cmte, S/C on Juv Jus; Legal Extern, H. Jud Cmte, Subcmte Crime/Crim Jus; Legal Counsel, Sen. Reid; Leg Dir. & General Counsel, Sen. Reid; Chief Counsel, Flr Pol. Dir., Asst. Dem Ldr/Whip"
Rodney Whitlock,"2011-2015: Health Policy Director, Sen. Chuck Grassley; 2005-2010: Health Policy Advisor, Senate Finance Committee; 2003-2005: Legislative Director, Rep. Charlie Norwood; 1997-2002: Legislative Assistant, Rep. Charlie Norwood"
Geoffrey Burr,Chief of Staff at US DOT; Deputy Assistant Secretary for Congressional Affairs at US DOL
Lori Harju,"Senior Advisor, House Ways & Means Comm; Chief of Staff, Rep Kevin Brady; Deputy Chief/Leg Dir, Rep Kevin Brady; Dir of Legisl and Intergovernmental Affairs, Internatl Trade Admin-US Dept of Commerce; Legisl Dir., Rep Philip Crane"
Jed Bhuta,NC-11- Legislative Director; TN-8- Legislative Assistant; Senate FL- Staff Assistant
Chad Sweet,"Chief of Staff, Department of Homeland Security; Deputy Chief of Staff, Department of Homeland Security; Special Advisor to the Secretary, Department of Homeland Security"
Michael Hettinger,"Staff Director, House Oversight Committee, Subcommittee on Government Management (2003-07); Chief of Staff, former Rep. Tom Davis of Virginia (1998-99)"
Patrick Cuff,"Chief of Staff, Rep. Steve Pearce"
Angela Flood,"Chief of Staff, Rep. Mark Souder; Deputy Political Director, White House"
Sarah Beth Jansen,"Counsel-Sen Coburn, S. Comm. Homeland Security; Counsel-Sen Coburn, S. Judic Comm; Legal Clerk, Sen Sessions, S. Subcomm. Admin./Courts; Legal Intern-Rep. Smith, H. Subcomm. Courts/Internet"
Cliff Roberti,"Dep Chief of Staff, Rep. Randy Neugebauer; Senior Policy Advisor, House Committee on Financial Services; Professional Staff Member, House Committee on Financial Services."
Chris Matthiesen,"Chief of Staff, Rep. Kosmas; LD, Rep. Lampson; Staff Assistant, Minority Leader Pelosi"
Doug Nappi,"General Counsel, Counsel US Senate Committee on Banking, Housing & Urban Affairs"
Doug Nappi,"Chief of Staff, Rep. Kosmas; LD, Rep. Lampson; Staff Assistant, Minority Leader Pelosi"
Chris Matthiesen,"General Counsel, Counsel US Senate Committee on Banking, Housing & Urban Affairs"
W. Christopher Lamond,"Aide, Senate Govt Affairs Comm; LA, Sen. Thompson."
Charles Thomas,"Senior Legislative Asst., Legislative Asst, Legislative Aide, Staff Asst, Rep. Robert Pittenger"
Harriet Melvin,"Professional Staff, Rep. Charles Hatcher."
David Thompson,"Senior Policy Advisor, Office of Speaker J. Dennis Hastert (1999-2002); Senior Policy Advisor, Office of Rep. J. Dennis Hastert (1993-1999)"
Joseph McMonigle,"Chief of Staff, U.S. Department of Energy (2001-2005)"
Spencer Abraham,"Secretary, U.S. Department of Energy (2001-2005); Senator, U.S. Senate (1995-2001)"
Jason Rosenstock,"Legislative Counsel, Rep. Tom Lantos; Intern, Rep. Robert Weygand."
Charles Thomas,"Senior Legislative Asst, Legislative Asst, Legislative Aide, Staff Asst; Rep. Robert Pittenger"
Michaela Sims,"Legislative Counsel, Sen. Ben Nelson (D-NE); Legislative Director and Counsel, Sen. Bob Kerrey (D-NE)"
Edward Prettyman,"Legislative Correspondent and Constituent Services Representative, Sen. Tom Carper (D-DE)"
W. Christopher Lamond,"Aide, Senate Govt Affairs Comm; LA, Sen. Thompson"
Joseph Rubin,"Counsel and Legislative Director, Rep. George Gekas; Counsel, Rep. Steve Chabot"
